task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	0a/06c36b	1665479	getReadFTP (1)	COMPLETED	0	2025-05-13 23:35:08.127	5.7s	5.1s	15.9%	43.2 MB	91.5 MB	5.2 MB	9.3 KB
3	fb/9a6b16	1665516	getReadFTP (2)	COMPLETED	0	2025-05-13 23:35:08.225	5.2s	4.8s	17.7%	43.3 MB	91.5 MB	5.2 MB	9.3 KB
4	a0/ff76e6	1665498	getReadFTP (3)	COMPLETED	0	2025-05-13 23:35:08.197	5.4s	4.8s	17.0%	43.3 MB	91.5 MB	5.2 MB	9.3 KB
7	c7/89a8f1	1666611	sampleInfo (2)	COMPLETED	0	2025-05-13 23:35:13.864	1.9s	1.5s	7.2%	6.1 MB	16.9 MB	200.3 KB	889 B
5	4a/f464e3	1666617	sampleInfo (1)	COMPLETED	0	2025-05-13 23:35:13.936	2s	1.4s	6.6%	6.2 MB	16.9 MB	200.3 KB	889 B
1	9c/580cfc	1665537	salmonIndex	COMPLETED	0	2025-05-13 23:35:08.265	13.2s	12.8s	189.3%	84.9 MB	169.7 MB	156.6 MB	41.5 MB
9	5c/7eb892	1668664	sampleInfo (3)	COMPLETED	0	2025-05-13 23:35:21.430	6.2s	6.1s	1.6%	6.4 MB	25.3 MB	200.3 KB	889 B
8	e1/e985db	1667075	downloadReadFTP (2)	COMPLETED	0	2025-05-13 23:35:15.796	5m 13s	5m 13s	2.6%	20.8 MB	44.6 MB	379 MB	251.8 MB
12	32/8023ee	1691126	bbduk (1)	COMPLETED	0	2025-05-13 23:40:29.153	1m 16s	1m 16s	292.1%	684.6 MB	7.7 GB	2.5 GB	2.5 GB
11	e1/9562ed	1691125	raw_fastqc (1)	COMPLETED	0	2025-05-13 23:40:29.138	1m 28s	1m 28s	79.9%	353.6 MB	3.4 GB	272.4 MB	5 MB
14	3e/02f628	1700512	salmonQuant (1)	COMPLETED	0	2025-05-13 23:41:56.987	42s	41.8s	287.7%	362.4 MB	529.6 MB	285 MB	417.3 KB
10	2d/b466e2	1667102	downloadReadFTP (3)	COMPLETED	0	2025-05-13 23:35:15.980	7m 36s	7m 36s	1.4%	20.8 MB	44.6 MB	358.8 MB	239.6 MB
13	b6/70ecaf	1699117	trimmed_fastqc (1)	COMPLETED	0	2025-05-13 23:41:45.209	1m 14s	1m 14s	89.8%	358.7 MB	3.4 GB	284.4 MB	5 MB
6	fd/538808	1666635	downloadReadFTP (1)	COMPLETED	0	2025-05-13 23:35:14.035	7m 59s	7m 59s	1.4%	20.9 MB	44.6 MB	368.4 MB	244.6 MB
15	4c/a546b3	1704750	bbduk (2)	COMPLETED	0	2025-05-13 23:42:52.262	2m 14s	2m 14s	168.0%	697.1 MB	7.5 GB	2.5 GB	2.5 GB
18	2f/386d62	1707440	bbduk (3)	COMPLETED	0	2025-05-13 23:43:13.352	2m 23s	2m 21s	153.1%	791.7 MB	5.8 GB	2.4 GB	2.4 GB
16	f5/774dc1	1704751	raw_fastqc (2)	COMPLETED	0	2025-05-13 23:42:52.271	2m 46s	2m 46s	42.2%	377.9 MB	3.4 GB	260.3 MB	5 MB
17	b5/f1c533	1707431	raw_fastqc (3)	COMPLETED	0	2025-05-13 23:43:13.310	2m 52s	2m 51s	40.4%	348.2 MB	3.4 GB	265.4 MB	5 MB
19	25/efcdc0	1717278	salmonQuant (2)	COMPLETED	0	2025-05-13 23:45:06.388	1m 17s	1m 17s	173.0%	357.3 MB	523.6 MB	273.1 MB	417.4 KB
23	db/d15004	1722921	raw_multiqc	COMPLETED	0	2025-05-13 23:46:23.381	10.3s	9.7s	45.1%	149.8 MB	193 MB	49.2 MB	18.5 MB
21	30/68b6b9	1721663	salmonQuant (3)	COMPLETED	0	2025-05-13 23:46:05.030	58.2s	57.8s	211.6%	357.2 MB	523.6 MB	277.6 MB	417.1 KB
24	1a/58d43e	1724718	salmonQuantMerge	COMPLETED	0	2025-05-13 23:47:03.314	242ms	143ms	75.0%	47.4 MB	86.2 MB	1.3 MB	311.7 KB
22	22/0b4607	1719783	trimmed_fastqc (3)	COMPLETED	0	2025-05-13 23:45:38.363	1m 42s	1m 41s	68.9%	334.3 MB	3.4 GB	277 MB	5.1 MB
20	df/6b7ae0	1719544	trimmed_fastqc (2)	COMPLETED	0	2025-05-13 23:45:36.457	1m 46s	1m 45s	66.2%	351.2 MB	3.4 GB	272.5 MB	5 MB
26	c8/f6aa24	1725896	trimmed_multiqc	COMPLETED	0	2025-05-13 23:47:22.000	5s	4.9s	75.7%	134 MB	161.9 MB	49.2 MB	18.5 MB
25	33/72dce2	1724828	buildNetwork	COMPLETED	0	2025-05-13 23:47:03.593	38.5s	38.4s	98.4%	372.2 MB	493.3 MB	22.4 MB	307.2 MB
