UniqueCount	AmbigCount
2598026	152769
1884582	41187
2200270	57276
1711100	47983
614346	131724
1234229	34872
1013044	41335
825239	48575
1618871	36716
1580583	37436
0	11110
0	11697
1	13184
10	94228
0	537
0	232
0	300
0	354
0	41
0	200
0	777
0	162
0	155
0	115
0	115
0	126
0	656
0	88
0	71
0	157
0	417
0	352
0	98
0	167
0	62
0	19
0	413
0	781
0	100
0	105
0	124
0	51
0	86
0	146
0	125
0	38
0	22
0	17
1	93823
0	29
0	34
0	64
0	35
0	29
0	68
0	4
0	24
0	7
0	41
2	93827
0	15
0	20
1122	43
0	1
0	54
0	602
0	292
0	15
0	9
0	34
0	18
0	28
0	63
0	4
0	13
0	3
0	22
255	834
0	52
0	68
0	28
0	394
0	0
0	55
0	49
0	9
0	0
0	64
0	10
0	117
0	44
0	0
0	0
0	11
0	40
0	6
0	48
193	15
0	5
0	0
0	38
0	7
78	9
0	5
0	10
0	14
0	15
0	4
0	115
0	4
0	10
0	7248
0	12
33	130
0	11
0	3
0	10
0	20
0	6
0	14
0	296
0	5
0	2
0	984
0	19
0	10
0	274
0	315
0	2462
0	2
0	42
0	0
0	11
0	5
0	1
0	161
0	3
0	23
0	41
0	16
0	397
0	7
0	0
0	21
0	7
0	5
0	3
0	3
0	0
0	21
0	32
0	30
0	22
0	20
0	32
0	14
0	0
0	1
0	0
0	35
0	11
0	25
0	1
0	3
0	6
0	1
0	11
0	0
0	10
0	1
0	12
0	69
0	18
0	13
0	0
0	5
0	0
0	53
0	48
0	2
0	18
0	84
0	44
0	2
2	3
0	37
0	1
0	13
0	37
0	0
0	403
0	22
331	71
0	0
0	1
0	0
0	79
0	5
0	3
0	0
13	9
0	0
0	23
0	37
0	67
0	4
0	16
0	10
0	0
686	7
0	2
73	28
0	0
0	87
0	38
0	3
51	0
0	5
0	8
0	26
0	1
0	2104
0	64270
0	38
0	27
0	2988
0	5
0	6
0	5
16	34
0	37
0	3
0	27
0	0
0	8
0	0
0	6
0	39
0	0
0	4
0	31
0	7
0	29
0	17
0	16
0	14
0	25
0	13
0	18
0	16
0	7
0	15
0	28
0	55
4	442
0	5
0	6
0	375
0	5
0	4
0	0
0	7
0	21
0	18
0	7
0	2
0	19
0	1
0	0
0	0
0	28
0	2
0	0
0	6
0	12
20	13
0	8
0	15
0	14
0	0
0	58
39	61
0	66
0	11
0	2
0	19
0	6
0	15
0	2
0	0
0	11
0	0
31	30
0	19
0	0
0	10
0	1
0	0
0	14
0	0
0	1
0	0
0	0
0	37
0	7
0	0
0	5
0	240
0	0
0	2
0	0
0	0
0	1
0	2
0	29
0	161
0	2
0	340
0	1
0	0
0	0
0	65491
0	3
0	8
0	0
0	2
0	16
0	3
0	63669
0	4
0	25642
0	2
0	24
0	6
0	0
0	0
0	0
0	5
0	1
0	18
0	12
0	2
0	1
0	0
0	2
0	11
0	0
0	1
22	435
0	0
0	0
0	0
0	0
0	328
0	0
0	6
0	15944
0	19
0	0
0	91
0	0
0	9
0	0
0	0
0	0
0	1
0	0
0	3
0	10
0	0
0	75
0	2
0	0
0	7
0	2
0	0
0	0
0	7
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	27
0	0
0	0
0	21
0	5
0	0
0	0
0	94
0	0
0	0
0	16
0	8
0	0
0	71005
0	42
0	6
0	0
0	0
0	9
0	11
0	0
0	12
0	0
0	0
0	0
0	7
0	7
0	15
3	7
0	0
0	6
0	14
0	1
1	0
0	0
0	65
0	9
0	1
0	5
52	103
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
1	63
0	0
0	0
0	8
0	17
0	0
0	1
0	0
0	2
0	0
0	0
0	9
0	2
0	11
0	5
0	0
0	20
0	1
0	345
0	0
0	3
0	2
80	104
0	5
0	10
0	41
0	2
0	0
0	2
0	0
0	1
0	23
0	0
0	18
0	4
0	0
0	0
0	0
0	0
0	2
0	0
0	1
0	0
0	0
0	2
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	16
0	39
0	0
0	22
0	0
0	0
0	0
0	0
0	0
0	172
0	0
0	0
0	443
0	9
0	8
0	0
0	0
0	4
0	0
0	3
0	0
0	0
0	0
0	13375
0	0
0	485
0	0
0	41
0	0
0	9
0	0
0	169
0	1
0	0
1	2
0	0
0	0
0	0
0	57886
0	0
0	0
0	1
0	0
0	1
0	0
0	1
0	0
0	63306
0	3
0	1
0	5
0	0
0	0
0	3
0	24957
0	1
0	24972
2	15070
0	0
0	0
0	0
0	9
0	0
0	0
0	9
0	0
0	0
0	0
0	1
0	242
0	0
0	0
0	13
0	0
0	0
0	52
0	0
0	3
0	4
0	0
0	0
0	60717
0	11090
0	1
0	4
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	29239
0	5
0	19
0	16
0	1
0	1
0	15
0	2
0	9
0	10
0	1
0	0
0	0
0	15918
0	0
0	4
0	4
0	15
0	5
0	13672
0	0
0	0
0	0
0	0
0	5
0	1
0	0
0	0
0	5
0	19
81	6
0	0
0	51049
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	27703
0	0
0	2
0	1
0	0
0	0
0	0
0	1
0	3
0	1
1	32385
0	15
0	1
0	17
0	0
0	0
0	10
0	601
0	0
0	464
0	0
0	0
0	0
0	0
0	25
0	3
0	83
0	3
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	2
0	484
0	0
0	0
0	0
5	8
0	21659
0	29
0	2
0	0
0	4
0	0
0	0
0	0
0	18
0	0
0	0
0	0
0	0
0	0
0	5
1	58567
0	0
0	1625
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	2220
0	0
0	2749
0	0
0	0
0	1
0	0
0	184
0	0
0	6
0	21
0	17903
0	4
0	19979
0	48
0	6
0	0
0	0
0	8
0	0
0	0
0	0
0	180
0	0
0	14
0	0
0	11980
0	20013
0	0
0	14993
0	0
0	3
0	0
0	12
0	1
0	11
0	684
0	0
0	0
0	0
0	2
0	1
0	0
0	0
0	19917
0	30
0	0
0	1
0	1
6	122
0	46858
0	0
0	0
0	0
0	3
0	0
0	1132
0	12701
0	0
0	838
0	0
0	4
0	0
0	0
0	0
0	1
0	647
0	0
102	0
0	0
0	0
0	0
0	4
0	56
0	0
0	0
0	0
0	5
0	7
0	0
0	0
0	5415
0	1
0	0
0	1
0	13344
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	609
0	0
0	192
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	107
0	0
0	3
0	6
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	25
0	2
0	4
0	0
0	1
0	0
0	0
0	3
0	0
0	0
0	306
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	39
0	2
0	0
0	0
0	0
0	25
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	39
1	0
0	0
0	0
0	7
0	0
0	0
0	21
0	0
0	0
